253,191,222,230,187,1.18,-10.59,-0.08,d
272,190,221,214,187,1.06,-10.55,-0.16,d
291,188,221,212,187,1.06,-10.59,0.00,d
261,190,223,212,187,0.90,-10.59,-0.04,d
243,191,222,213,187,1.06,-10.55,-0.24,d
262,192,233,1023,189,1.10,-10.47,-0.08,d
238,214,286,1023,216,1.10,-10.47,-0.43,d
242,208,320,1023,276,1.06,-10.40,-0.47,d
276,192,341,1023,314,1.10,-10.24,-1.22,d
313,187,345,1023,315,0.98,-10.20,-1.49,d
334,185,341,1023,310,0.63,-10.20,-1.69,d
342,186,340,1023,306,0.71,-10.12,-1.92,d
342,186,338,1023,303,0.67,-10.16,-1.88,d
352,186,336,1023,302,0.78,-10.16,-1.96,d
332,185,334,1023,301,0.82,-10.16,-1.77,d
335,182,329,1023,300,0.82,-10.32,-1.96,d
323,181,327,1023,300,1.10,-10.28,-1.45,d
295,182,303,1023,262,1.02,-10.32,-1.84,d
261,182,228,220,189,1.37,-10.12,-1.84,d
